drug,query_used,molecule_chembl_id,pref_name,molecule_type,max_phase,oral,parenteral,topical,black_box_warning,availability_type,first_approval,indication_class,helm_notation,canonical_smiles,standard_inchi,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,heavy_atoms,num_ro5_violations,qed_weighted
PALBOCICLIB,PALBOCICLIB,CHEMBL189963,PALBOCICLIB,Small molecule,4.0,True,False,False,0,1.0,2015.0,,,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,"InChI=1S/C24H29N7O2/c1-15-19-14-27-24(28-20-8-7-18(13-26-20)30-11-9-25-10-12-30)29-22(19)31(17-5-3-4-6-17)23(33)21(15)16(2)32/h7-8,13-14,17,25H,3-6,9-12H2,1-2H3,(H,26,27,28,29)",AHJRHEGDXFFMBM-UHFFFAOYSA-N,447.54,2.97,105.04,9,2,5,3,33,0,0.58
PD0325901,PD0325901,CHEMBL507361,MIRDAMETINIB,Small molecule,2.0,False,False,False,0,,,,,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,"InChI=1S/C16H14F3IN2O4/c17-11-3-2-10(16(25)22-26-7-9(24)6-23)15(14(11)19)21-13-4-1-8(20)5-12(13)18/h1-5,9,21,23-24H,6-7H2,(H,22,25)/t9-/m1/s1",SUDAHWBOROXANE-SECBINFHSA-N,482.20,2.47,90.82,5,4,7,2,26,0,0.36
PD173074,PD173074,CHEMBL189584,PD-173074,Small molecule,,False,False,False,0,-1.0,,,,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,"InChI=1S/C28H41N7O3/c1-8-35(9-2)13-11-10-12-29-26-30-18-20-16-23(19-14-21(37-6)17-22(15-19)38-7)25(31-24(20)32-26)33-27(36)34-28(3,4)5/h14-18H,8-13H2,1-7H3,(H3,29,30,31,32,33,34,36)",DXCUKNQANPLTEJ-UHFFFAOYSA-N,523.68,5.16,113.53,8,3,12,3,38,2,0.28
PEVONEDISTAT,PEVONEDISTAT,CHEMBL1231160,PEVONEDISTAT,Small molecule,3.0,False,False,False,0,,,,,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,"InChI=1S/C21H25N5O4S/c22-31(28,29)30-11-14-9-15(10-19(14)27)26-8-7-17-20(23-12-24-21(17)26)25-18-6-5-13-3-1-2-4-16(13)18/h1-4,7-8,12,14-15,18-19,27H,5-6,9-11H2,(H2,22,28,29)(H,23,24,25)/t14-,15+,18-,19-/m0/s1",MPUQHZXIXSTTDU-QXGSTGNESA-N,443.53,2.06,132.36,8,3,6,3,31,0,0.53
PFI-1,PFI-1,CHEMBL4789678,,Unknown,,False,False,False,0,-1.0,,,,Cl.O=C([C@@H](Cc1cccc(C(F)(F)F)c1)NS(=O)(=O)c1cc(F)c2c(c1)CCNC2)N1CCCC1,"InChI=1S/C23H25F4N3O3S.ClH/c24-20-13-18(12-16-6-7-28-14-19(16)20)34(32,33)29-21(22(31)30-8-1-2-9-30)11-15-4-3-5-17(10-15)23(25,26)27;/h3-5,10,12-13,21,28-29H,1-2,6-9,11,14H2;1H/t21-;/m1./s1",ZADKZNVAJGEFLC-ZMBIFBSDSA-N,535.99,3.00,78.51,4,2,6,2,34,0,0.60
PICTILISIB,PICTILISIB,CHEMBL521851,PICTILISIB,Small molecule,2.0,False,False,False,0,,,,,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,"InChI=1S/C23H27N7O3S2/c1-35(31,32)30-7-5-28(6-8-30)15-16-13-20-21(34-16)23(29-9-11-33-12-10-29)26-22(25-20)17-3-2-4-19-18(17)14-24-27-19/h2-4,13-14H,5-12,15H2,1H3,(H,24,27)",LHNIIDJUOCFXAP-UHFFFAOYSA-N,513.65,2.15,107.55,9,1,5,4,35,1,0.43
PLX-4720,PLX-4720,CHEMBL1230020,PLX-4720,Small molecule,,False,False,False,0,-1.0,,,,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,"InChI=1S/C17H14ClF2N3O3S/c1-2-5-27(25,26)23-13-4-3-12(19)14(15(13)20)16(24)11-8-22-17-10(11)6-9(18)7-21-17/h3-4,6-8,23H,2,5H2,1H3,(H,21,22)",YZDJQTHVDDOVHR-UHFFFAOYSA-N,413.83,3.88,91.92,4,2,6,3,27,0,0.60
REFAMETINIB,REFAMETINIB,CHEMBL1236682,REFAMETINIB,Small molecule,2.0,False,False,False,0,,,,,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1,"InChI=1S/C19H20F3IN2O5S/c1-30-15-7-13(21)16(22)18(24-14-3-2-10(23)6-12(14)20)17(15)25-31(28,29)19(4-5-19)8-11(27)9-26/h2-3,6-7,11,24-27H,4-5,8-9H2,1H3/t11-/m0/s1",RDSACQWTXKSHJT-NSHDSACASA-N,572.34,3.48,107.89,6,4,9,2,31,1,0.34
RO-3306,RO-3306,CHEMBL5305651,,,,False,False,False,0,-1.0,,,,O=C1NC(=NCc2cccs2)SC1=Cc1ccc2ncccc2c1,"InChI=1S/C18H13N3OS2/c22-17-16(24-18(21-17)20-11-14-4-2-8-23-14)10-12-5-6-15-13(9-12)3-1-7-19-15/h1-10H,11H2,(H,20,21,22)",XOLMRFUGOINFDQ-UHFFFAOYSA-N,351.46,4.06,54.35,5,1,3,3,24,0,0.72
RUCAPARIB,RUCAPARIB,CHEMBL1173055,RUCAPARIB,Small molecule,4.0,True,False,False,0,1.0,2016.0,,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,"InChI=1S/C19H18FN3O/c1-21-10-11-2-4-12(5-3-11)18-14-6-7-22-19(24)15-8-13(20)9-16(23-18)17(14)15/h2-5,8-9,21,23H,6-7,10H2,1H3,(H,22,24)",HMABYWSNWIZPAG-UHFFFAOYSA-N,323.37,2.98,56.92,2,3,3,3,24,0,0.69
