drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
RO-3306,4,stacking,ridge,1.0,-0.2129539721226288,163,40,mrna,0.7529027548352321
RO-3306,5,stacking,ridge,1.0,0.08452929630123274,163,40,mrna,0.7941550272141193
RUCAPARIB,1,stacking,ridge,1.0,-0.5441580492043951,162,41,mrna,0.4129556601027978
RUCAPARIB,2,stacking,ridge,1.0,-0.40162418841527225,162,41,mrna,0.4858428880610688
RUCAPARIB,3,stacking,ridge,1.0,-0.373939553095334,162,41,mrna,0.5815798533337438
RUCAPARIB,4,stacking,ridge,1.0,-0.3295421935023777,163,40,mrna,0.3671384416084538
RUCAPARIB,5,stacking,ridge,1.0,-0.12138116331863058,163,40,mrna,0.4864872832121975
SB216763,1,stacking,ridge,1.0,0.18204793907447936,162,41,mrna,1.0297851000730045
SB216763,2,stacking,ridge,1.0,0.17392459094156365,162,41,mrna,0.9028321408948913
SB216763,3,stacking,ridge,1.0,-0.4408334560206395,162,41,mrna,0.8886105919303419
SB216763,4,stacking,ridge,1.0,0.35942947759382804,163,40,mrna,0.9619310471065771
SB216763,5,stacking,ridge,1.0,0.34355223015086445,163,40,mrna,0.947201261348808
SB590885,1,stacking,ridge,1.0,-0.42445659768354727,162,41,mrna,0.4659029438672294
SB590885,2,stacking,ridge,1.0,-0.22126099194833593,162,41,mrna,0.6087306489820942
SB590885,3,stacking,ridge,1.0,-0.22870134511280904,162,41,mrna,0.49856765847263446
SB590885,4,stacking,ridge,1.0,-0.4673496533053121,163,40,mrna,0.5278890149183101
SB590885,5,stacking,ridge,1.0,-0.36197206346703625,163,40,mrna,0.6498361238075216
SELUMETINIB,1,stacking,ridge,1.0,-0.16933090975014098,162,41,mrna,0.7032213427519975
SELUMETINIB,2,stacking,ridge,1.0,-0.45583893090024485,162,41,mrna,0.7592328164182429
SELUMETINIB,3,stacking,ridge,1.0,-0.38997144414509677,162,41,mrna,0.5058764684677061
SELUMETINIB,4,stacking,ridge,1.0,-0.2627811221965115,163,40,mrna,0.563296530560473
SELUMETINIB,5,stacking,ridge,1.0,-0.4776923245115876,163,40,mrna,0.6290221237176314
SERDEMETAN,1,stacking,ridge,1.0,-0.36370091872208343,162,41,mrna,0.49559936727615284
SERDEMETAN,2,stacking,ridge,1.0,-0.31103703998594634,162,41,mrna,0.6129507217378344
SERDEMETAN,3,stacking,ridge,1.0,-0.6251308391779262,162,41,mrna,0.4439492762190788
SERDEMETAN,4,stacking,ridge,1.0,-0.3339900223600365,163,40,mrna,0.842488290748914
SERDEMETAN,5,stacking,ridge,1.0,-0.9223196161912104,163,40,mrna,0.3255089939973676
SGC0946,1,stacking,ridge,1.0,-0.16258370130799626,162,41,mrna,0.7325112492284073
SGC0946,2,stacking,ridge,1.0,-0.05844400585610954,162,41,mrna,0.8686469576740902
SGC0946,3,stacking,ridge,1.0,0.060984087306491075,162,41,mrna,0.8180713559242683
SGC0946,4,stacking,ridge,1.0,-0.1776907340890468,163,40,mrna,0.7274641132204622
SGC0946,5,stacking,ridge,1.0,-0.2587311401585144,163,40,mrna,0.8968038276765355
SN-38,1,stacking,ridge,1.0,-0.6325109375292159,162,41,mrna,0.9962633725180837
SN-38,2,stacking,ridge,1.0,-1.16627719499371,162,41,mrna,0.9429232499476645
SN-38,3,stacking,ridge,1.0,-0.613538596897313,162,41,mrna,0.861336386881611
SN-38,4,stacking,ridge,1.0,-0.6084957305917253,163,40,mrna,0.8857484697875342
SN-38,5,stacking,ridge,1.0,0.20495287034336407,163,40,mrna,0.8075724686327893
TALAZOPARIB,1,stacking,ridge,1.0,1.2864270166411187,162,41,mrna,0.5604142558998766
TALAZOPARIB,2,stacking,ridge,1.0,0.4131208636706125,162,41,mrna,0.6731230112257671
TALAZOPARIB,3,stacking,ridge,1.0,1.2340888045524068,162,41,mrna,0.5247791129163397
TALAZOPARIB,4,stacking,ridge,1.0,1.5378352800891395,163,40,mrna,0.5854998228221092
TALAZOPARIB,5,stacking,ridge,1.0,1.1899832642683799,163,40,mrna,0.4937931268342864
TAMOXIFEN,1,stacking,ridge,1.0,0.10371234470540314,162,41,mrna,0.47953817498795126
