drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna,row_id
GEFITINIB,2,stacking,ridge,1.0,0.9088402067696277,162,41,-0.010928124102104588,-0.04643821924140472,0.3464490006177168,0.2974259840504629,GEFITINIB|fold2
GEFITINIB,3,stacking,ridge,1.0,0.3601309928116616,162,41,0.17768531026788612,-0.14775757492330474,0.3944825624965749,0.41614346142783276,GEFITINIB|fold3
GEFITINIB,4,stacking,ridge,1.0,0.5683387134466964,163,40,-0.09061565295715984,-0.20693269589782504,0.49284659269334663,0.548055992327797,GEFITINIB|fold4
GEFITINIB,5,stacking,ridge,1.0,-0.3636966308864036,163,40,0.0357809713547906,0.00018245286773400782,0.5123547141311771,0.6145615986260106,GEFITINIB|fold5
GEMCITABINE,1,stacking,ridge,1.0,-0.1819163464792366,162,41,1.3409875389067003,-0.03782567934730963,-0.11425068639227914,-0.24270738767018568,GEMCITABINE|fold1
GEMCITABINE,2,stacking,ridge,1.0,-0.10313517089984137,162,41,0.817481459500779,0.02547884731706438,0.16426541417411855,-0.016181240085030888,GEMCITABINE|fold2
GEMCITABINE,3,stacking,ridge,1.0,-0.00476436867495833,162,41,1.0032048794471897,0.06983168101157149,0.014225689249921136,-0.07251012268145086,GEMCITABINE|fold3
GEMCITABINE,4,stacking,ridge,1.0,0.292005649096045,163,40,0.9983659967812147,0.08372687510273825,0.0883328666209102,-0.05557264637451188,GEMCITABINE|fold4
GEMCITABINE,5,stacking,ridge,1.0,-0.08728617390370408,163,40,0.7867440477172336,0.051702887366275596,0.3017168650504238,-0.16686234149774445,GEMCITABINE|fold5
GW441756,1,stacking,ridge,1.0,0.08894374009622474,162,41,0.49018899307848995,0.36818765710768697,-0.14947306347999584,0.2651229294912635,GW441756|fold1
GW441756,2,stacking,ridge,1.0,0.43536765455549986,162,41,0.6742437804659178,0.4457383956515163,-0.33463038652075094,0.052413400158320696,GW441756|fold2
GW441756,3,stacking,ridge,1.0,-0.29078343799666584,162,41,0.47772032519247504,0.3534526449441765,-0.11655211789379101,0.3716835470180142,GW441756|fold3
GW441756,4,stacking,ridge,1.0,-0.28458820600253176,163,40,0.7796159148831048,0.299298946508823,-0.37719171428224596,0.40128625406406676,GW441756|fold4
GW441756,5,stacking,ridge,1.0,-0.0008959823995327021,163,40,0.7076447394398634,0.44991625553495357,-0.38264350776099165,0.21825242487256596,GW441756|fold5
JQ1,1,stacking,ridge,1.0,-0.11705756713025306,162,41,0.9313826247076634,0.012770886758198647,-0.20720842172046097,0.40623091223970315,JQ1|fold1
JQ1,2,stacking,ridge,1.0,-0.09393823846849525,162,41,0.7915954808519371,0.02676118565331589,-0.01890247996288486,0.3248234767795784,JQ1|fold2
JQ1,3,stacking,ridge,1.0,-0.05978369971848296,162,41,0.9393963531634467,-0.1710050776260898,0.08272442733752582,0.19269797423338925,JQ1|fold3
JQ1,4,stacking,ridge,1.0,-0.09992982407641693,163,40,0.8389683935277169,0.035772835310140104,-0.005611689511318153,0.25106003849662584,JQ1|fold4
