drug,blend,meta,alpha,intercept,n,omics,weight
ZM447439,stacking,ridge,1.0,-0.28494388863158426,203,meth,0.025306769635415713
AFATINIB,stacking,ridge,1.0,-0.032009812628983836,203,mirna,0.40048579590223565
AVAGACESTAT,stacking,ridge,1.0,-0.3169836678308444,203,mirna,0.27034015528349353
AXITINIB,stacking,ridge,1.0,-0.4008654318564324,203,mirna,0.10022303857097736
AZD4547,stacking,ridge,1.0,-0.380056095762654,203,mirna,0.5504760125807889
AZD6738,stacking,ridge,1.0,-0.1670592975956129,203,mirna,0.26547742051533324
AZD7762,stacking,ridge,1.0,0.05977998121164729,203,mirna,0.2311621853792052
AZD8186,stacking,ridge,1.0,-0.1776452583384147,203,mirna,-0.26128409215181453
BMS-536924,stacking,ridge,1.0,-0.8617750820864318,203,mirna,0.4683153417804909
BOSUTINIB,stacking,ridge,1.0,-0.1906339206273755,203,mirna,0.035004122883792885
CCT007093,stacking,ridge,1.0,-0.9201894887416566,203,mirna,0.13686757193529822
DACTOLISIB,stacking,ridge,1.0,0.12860720267325165,203,mirna,0.21743119926972135
DOCETAXEL,stacking,ridge,1.0,1.2214954918498226,203,mirna,0.2558484178974916
DORAMAPIMOD,stacking,ridge,1.0,0.9363098920816695,203,mirna,0.25372389313550126
EHT-1864,stacking,ridge,1.0,-0.130761447098374,203,mirna,0.19074220376599657
FULVESTRANT,stacking,ridge,1.0,-0.11211436925888973,203,mirna,0.34741304286522595
GEFITINIB,stacking,ridge,1.0,0.4409096267886703,203,mirna,0.44008565985944276
GEMCITABINE,stacking,ridge,1.0,-0.025347771787103124,203,mirna,-0.09734901217611171
GW441756,stacking,ridge,1.0,0.030750837288497035,203,mirna,0.26137271519842825
JQ1,stacking,ridge,1.0,-0.10043052084542248,203,mirna,0.3021392402107928
KU-55933,stacking,ridge,1.0,-0.22443614819208868,203,mirna,-0.04974269673668723
LENALIDOMIDE,stacking,ridge,1.0,-0.631476138758476,203,mirna,0.4235232304644937
LESTAURTINIB,stacking,ridge,1.0,0.08289364652739206,203,mirna,-0.25019927896424227
METHOTREXATE,stacking,ridge,1.0,0.05064077270512357,203,mirna,-0.034268622047871275
MIRIN,stacking,ridge,1.0,-0.15238966007720034,203,mirna,0.31700479070161425
MK-2206,stacking,ridge,1.0,-0.683345339908487,203,mirna,0.577949907385371
MOTESANIB,stacking,ridge,1.0,-1.1179431777919437,203,mirna,0.2990645206424112
NAVITOCLAX,stacking,ridge,1.0,-0.030381617459787513,203,mirna,-0.2585983520434417
NU7441,stacking,ridge,1.0,-0.49322160443557284,203,mirna,0.06647946637273645
NUTLIN-3A (-),stacking,ridge,1.0,0.2145349351483481,203,mirna,-0.33380530427492316
OLAPARIB,stacking,ridge,1.0,-0.39136908074983046,203,mirna,-0.1960644513516816
PALBOCICLIB,stacking,ridge,1.0,-0.08493490290872696,203,mirna,-0.036107610988056836
PD0325901,stacking,ridge,1.0,-0.02207937154754791,203,mirna,0.38234856090892005
PD173074,stacking,ridge,1.0,-0.2566921016204198,203,mirna,0.20946532252314556
PEVONEDISTAT,stacking,ridge,1.0,0.014567907009171044,203,mirna,0.11013928757751973
PFI-1,stacking,ridge,1.0,0.11782524423707263,203,mirna,-0.12615198033835476
PICTILISIB,stacking,ridge,1.0,0.1551561010536916,203,mirna,-0.18679519098545044
PLX-4720,stacking,ridge,1.0,-0.7762579055025629,203,mirna,0.26914492486548286
REFAMETINIB,stacking,ridge,1.0,-0.09730846641138235,203,mirna,0.29502405832292716
RO-3306,stacking,ridge,1.0,-0.132559462743699,203,mirna,0.3887805347776227
RUCAPARIB,stacking,ridge,1.0,-0.3344370468442741,203,mirna,-0.01845879101446761
SB216763,stacking,ridge,1.0,0.1781154873722599,203,mirna,-0.036496063872809896
SB590885,stacking,ridge,1.0,-0.3156128823404427,203,mirna,0.293175646659411
SELUMETINIB,stacking,ridge,1.0,-0.34116343371626145,203,mirna,0.25107269226028495
SERDEMETAN,stacking,ridge,1.0,-0.5212122634447489,203,mirna,0.5257058512127747
SGC0946,stacking,ridge,1.0,-0.10713623158575913,203,mirna,-0.012551500082613607
SN-38,stacking,ridge,1.0,-0.5959665588058609,203,mirna,-0.2527201858596685
TALAZOPARIB,stacking,ridge,1.0,1.206885314774891,203,mirna,-0.7370157427115331
TAMOXIFEN,stacking,ridge,1.0,-0.12704257169428468,203,mirna,0.16574550486125525
TANESPIMYCIN,stacking,ridge,1.0,0.045715456498324786,203,mirna,-0.22202590456260643
TEMOZOLOMIDE,stacking,ridge,1.0,-0.2702344808963444,203,mirna,-0.10481552776899555
TRAMETINIB,stacking,ridge,1.0,0.05785071394767788,203,mirna,0.3405686016210403
VELIPARIB,stacking,ridge,1.0,0.11565736360663248,203,mirna,0.1414057745961244
VISMODEGIB,stacking,ridge,1.0,0.11231802631179644,203,mirna,0.5513665275527179
VORINOSTAT,stacking,ridge,1.0,-0.06715549344458593,203,mirna,0.1426077575555442
WEE1 INHIBITOR,stacking,ridge,1.0,-0.13283355968534383,203,mirna,0.4896517323319238
YK-4-279,stacking,ridge,1.0,-0.048166956472927014,203,mirna,0.2980551826458309
ZM447439,stacking,ridge,1.0,-0.28494388863158426,203,mirna,0.08347297181452056
