drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
PICTILISIB,3,stacking,ridge,1.0,-0.03885593565856982,162,41,mrna,0.5969860555869687
PICTILISIB,4,stacking,ridge,1.0,0.0016471458146722906,163,40,mrna,0.4954953140512948
PICTILISIB,5,stacking,ridge,1.0,0.282353336836894,163,40,mrna,0.6170051956789202
PLX-4720,1,stacking,ridge,1.0,-0.831606610606705,162,41,mrna,0.8464893349273703
PLX-4720,2,stacking,ridge,1.0,-0.7916975904590209,162,41,mrna,0.7298355978040965
PLX-4720,3,stacking,ridge,1.0,-0.7322285666912776,162,41,mrna,0.6544383232024428
PLX-4720,4,stacking,ridge,1.0,-0.41797800509369054,163,40,mrna,0.6604123916949504
PLX-4720,5,stacking,ridge,1.0,-0.8200060746768569,163,40,mrna,0.8084121767574273
REFAMETINIB,1,stacking,ridge,1.0,0.022086289540773407,162,41,mrna,0.42106262194714994
REFAMETINIB,2,stacking,ridge,1.0,-0.32416753888716077,162,41,mrna,0.4275777866755946
REFAMETINIB,3,stacking,ridge,1.0,-0.32246023551079794,162,41,mrna,0.3997404922786369
REFAMETINIB,4,stacking,ridge,1.0,-0.12893100751415787,163,40,mrna,0.35876828188201126
REFAMETINIB,5,stacking,ridge,1.0,-0.3455312026074724,163,40,mrna,0.6209195640874117
RO-3306,1,stacking,ridge,1.0,0.14579138215572707,162,41,mrna,0.7537404715359498
RO-3306,2,stacking,ridge,1.0,-0.7210824051834392,162,41,mrna,0.6614033234872037
RO-3306,3,stacking,ridge,1.0,-0.1094055221145096,162,41,mrna,0.6830650673243697
RO-3306,4,stacking,ridge,1.0,-0.24616111969683718,163,40,mrna,0.6213808772349083
RO-3306,5,stacking,ridge,1.0,-0.0684980110755351,163,40,mrna,0.7776092392991847
RUCAPARIB,1,stacking,ridge,1.0,-0.4321310782469445,162,41,mrna,0.5585345712142606
RUCAPARIB,2,stacking,ridge,1.0,-0.42245321954156134,162,41,mrna,0.584841425590017
RUCAPARIB,3,stacking,ridge,1.0,-0.4020728985524098,162,41,mrna,0.4981970748997362
RUCAPARIB,4,stacking,ridge,1.0,-0.38985174230662345,163,40,mrna,0.455003302534034
RUCAPARIB,5,stacking,ridge,1.0,-0.11550137055213527,163,40,mrna,0.6253204796436245
SB216763,1,stacking,ridge,1.0,-0.42596724736142466,162,41,mrna,0.6870715368347019
SB216763,2,stacking,ridge,1.0,-0.051523073060727675,162,41,mrna,0.7039246768288405
SB216763,3,stacking,ridge,1.0,-0.7253670946816966,162,41,mrna,0.5977341723619374
SB216763,4,stacking,ridge,1.0,-0.10294250390543258,163,40,mrna,0.7048572994862428
SB216763,5,stacking,ridge,1.0,-0.05004624703464611,163,40,mrna,0.631794365893086
SB590885,1,stacking,ridge,1.0,-0.43357315237656824,162,41,mrna,0.559671824475763
SB590885,2,stacking,ridge,1.0,-0.14002292772353586,162,41,mrna,0.8444068746790996
SB590885,3,stacking,ridge,1.0,-0.18774794310962806,162,41,mrna,0.6230620942459185
SB590885,4,stacking,ridge,1.0,-0.3991082704097493,163,40,mrna,0.7805118463475488
SB590885,5,stacking,ridge,1.0,-0.2289467546065853,163,40,mrna,0.833320408658743
SELUMETINIB,1,stacking,ridge,1.0,-0.3924842577356036,162,41,mrna,0.6664180736811903
SELUMETINIB,2,stacking,ridge,1.0,-0.28637578972074307,162,41,mrna,0.878362806695903
SELUMETINIB,3,stacking,ridge,1.0,-0.30806387136543645,162,41,mrna,0.6024790555490613
SELUMETINIB,4,stacking,ridge,1.0,-0.19805029725097034,163,40,mrna,0.6653400562788349
SELUMETINIB,5,stacking,ridge,1.0,-0.5683843477903343,163,40,mrna,0.6988928362082915
SERDEMETAN,1,stacking,ridge,1.0,-0.3358741029387038,162,41,mrna,0.3610495763482848
SERDEMETAN,2,stacking,ridge,1.0,-0.2237882539557785,162,41,mrna,0.5204404741153479
SERDEMETAN,3,stacking,ridge,1.0,-0.6848589406217136,162,41,mrna,0.3258274787853393
SERDEMETAN,4,stacking,ridge,1.0,-0.3814167762204401,163,40,mrna,0.6137879692857683
SERDEMETAN,5,stacking,ridge,1.0,-0.7279896836480089,163,40,mrna,0.35676946129134457
SGC0946,1,stacking,ridge,1.0,-0.24829694614793296,162,41,mrna,0.6102717018215905
SGC0946,2,stacking,ridge,1.0,-0.1745810830038108,162,41,mrna,0.7184883661117943
SGC0946,3,stacking,ridge,1.0,-0.09247693324048756,162,41,mrna,0.6259866642148237
SGC0946,4,stacking,ridge,1.0,-0.23372007167609388,163,40,mrna,0.6516593909077102
SGC0946,5,stacking,ridge,1.0,-0.34754333168904883,163,40,mrna,0.850107470111011
SN-38,1,stacking,ridge,1.0,-0.897550487972496,162,41,mrna,1.0763773164317845
SN-38,2,stacking,ridge,1.0,-1.3942775530831373,162,41,mrna,0.9734457890479334
