source,native,name,p_value,significant,term_size,query_size,intersection_size,intersection_genes
GO:MF,GO:0015101,organic cation transmembrane transporter activity,1.0,False,2,313,2,
GO:MF,GO:0015378,sodium:chloride symporter activity,1.0,False,3,313,3,
GO:MF,GO:0015214,pyrimidine nucleoside transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015103,inorganic anion transmembrane transporter activity,1.0,False,5,313,4,
GO:MF,GO:0015108,chloride transmembrane transporter activity,1.0,False,4,313,3,
GO:MF,GO:0015125,bile acid transmembrane transporter activity,1.0,False,2,313,2,
GO:MF,GO:0015126,canalicular bile acid transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015132,prostaglandin transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015143,urate transmembrane transporter activity,1.0,False,2,313,2,
GO:MF,GO:0015144,carbohydrate transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015205,nucleobase transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015207,adenine transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015208,guanine transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015210,uracil transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015211,purine nucleoside transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015212,cytidine transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015075,monoatomic ion transmembrane transporter activity,1.0,False,19,313,12,
GO:MF,GO:0015213,uridine transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015391,nucleobase:monoatomic cation symporter activity,1.0,False,1,313,1,
GO:MF,GO:0015216,purine nucleotide transmembrane transporter activity,1.0,False,2,313,1,
GO:MF,GO:0015225,biotin transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0015267,channel activity,1.0,False,17,313,11,
GO:MF,GO:0015276,ligand-gated monoatomic ion channel activity,1.0,False,2,313,1,
GO:MF,GO:0015291,secondary active transmembrane transporter activity,1.0,False,6,313,4,
GO:MF,GO:0015293,symporter activity,1.0,False,5,313,4,
GO:MF,GO:0015294,solute:monoatomic cation symporter activity,1.0,False,5,313,4,
GO:MF,GO:0015296,monoatomic anion:monoatomic cation symporter activity,1.0,False,3,313,3,
GO:MF,GO:0015297,antiporter activity,1.0,False,2,313,1,
GO:MF,GO:0015318,inorganic molecular entity transmembrane transporter activity,1.0,False,18,313,13,
GO:MF,GO:0015370,solute:sodium symporter activity,1.0,False,4,313,4,
GO:MF,GO:0015373,monoatomic anion:sodium symporter activity,1.0,False,3,313,3,
GO:MF,GO:0015377,chloride:monoatomic cation symporter activity,1.0,False,3,313,3,
GO:MF,GO:0015215,nucleotide transmembrane transporter activity,1.0,False,2,313,1,
